Chainage,Alligator crack(%),Longitudinal crack(%),Transverse crack(%),Cracking(%),Cracking severity,Good,Fair,Poor,Potholes(%),Potholes severity,Good,Fair,Poor,Rutting(%),Shoving(%),Shoving severity,Patch work(%),Patch work severity,Good,Fair,Poor,%High Severity Bleeding,%Mid Severity Bleeding,%Low Severity Bleeding,Bleeding(%),Bleeding severity,Good,Fair,Poor,%High severity Raveling,%Medium severity Raveling,%Low severity Raveling,Raveling(%),Raveling severity,Good,Fair,Poor,Depression(%),Depression severity,Good,Fair,Poor,Edge crack(%),Edge crack severity,Good,Fair,Poor,Latitude,Longitude,Image Path
0+370,0.206639,0,0,0.206639,Good,1,0,0,0,N/A,0,0,0,0,2.441833,Good,0,N/A,0,0,0,0.030111,0.162553,0.206976,0.39964,Good,1,0,0,0.010373,0.008742,0.016457,0.035572,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18672,77.07304,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2189_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2197_Shoving.jpg
0+380,0.240275,0,0,0.240275,Good,1,0,0,0,N/A,0,0,0,0,1.622827,Good,0,N/A,0,0,0,0.03451,0.180979,0.211084,0.426573,Good,1,0,0,0.011738,0.009933,0.0173268,0.0389978,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18663,77.07303,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2232_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2232_Alligator_crack.jpg
0+390,0.144204,0,0,0.144204,Good,1,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.009052,0.169183,0.19316,0.371395,Good,1,0,0,0.006979,0.005342,0.0115772,0.0238982,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18654,77.07301,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2264_Alligator_crack.jpg
0+400,0,0,0,0,N/A,0,0,0,0.01317,Good,1,0,0,0,1.308914,Good,0,N/A,0,0,0,0.018466,0.183006,0.199531,0.401003,Good,1,0,0,0.014742,0.011902,0.0185653,0.0452093,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18645,77.073,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2281_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2292_Potholes.jpg
0+410,0.084417,0,0,0.084417,Good,1,0,0,0,N/A,0,0,0,0,3.077448,Good,0,N/A,0,0,0,0.044612,0.163965,0.163406,0.371983,Good,1,0,0,0.01333,0.012849,0.0188963,0.0450753,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18636,77.07298,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2314_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2315_Shoving.jpg
0+420,0.250627,0,0,0.250627,Good,1,0,0,0.026723,Good,1,0,0,0,3.981518,Good,0.188899,Good,1,0,0,0.044446,0.180053,0.184992,0.409491,Good,1,0,0,0.024014,0.015389,0.0208243,0.0602273,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18627,77.07297,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2322_Potholes.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2326_Patch_work.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2344_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2346_Shoving.jpg
0+430,0.291035,0,0,0.291035,Good,1,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.0796,0.179458,0.184319,0.443377,Good,1,0,0,0.035797,0.021439,0.0275169,0.0847529,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18618,77.07296,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2374_Alligator_crack.jpg
0+440,0,0,0,0,N/A,0,0,0,0.673789,Fair,0,1,0,0,2.270666,Good,0,N/A,0,0,0,0.09693,0.184561,0.18247,0.463961,Good,1,0,0,0.04345,0.029117,0.031903,0.10447,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.18609,77.07294,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2387_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2393_Potholes.jpg
0+450,0.366202,0,0,0.366202,Good,1,0,0,4.034256,Poor,0,0,1,0,1.267512,Good,0,N/A,0,0,0,0.111026,0.204951,0.210332,0.526309,Good,1,0,0,0.047541,0.030265,0.0326544,0.1104604,Good,1,0,0,0.529381,Good,1,0,0,0,N/A,0,0,0,28.186,77.07293,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2404_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2422_Shoving.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2429_Potholes.jpg
0+460,0.717074,0,0,0.717074,Good,1,0,0,0,N/A,0,0,0,0,1.213904,Good,0,N/A,0,0,0,0.033848,0.153159,0.193927,0.380934,Good,1,0,0,0.028644,0.018351,0.0220353,0.0690303,Good,1,0,0,0,N/A,0,0,0,1.350441,Fair,0,1,0,28.18591,77.07292,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2445_Alligator_crack.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_2452_Shoving.jpg
